iter	Passed	Remaining
0	54	54132
1	56	27991
2	57	19063
3	58	14577
4	59	11861
5	61	10147
6	62	8884
7	63	7907
8	64	7151
9	66	6537
10	67	6045
11	68	5633
12	69	5276
13	72	5092
14	73	4838
15	74	4604
16	75	4390
17	77	4204
18	78	4031
19	79	3878
20	80	3751
21	81	3624
22	82	3513
23	83	3411
24	85	3328
25	87	3264
26	88	3185
27	89	3103
28	90	3029
29	91	2958
30	92	2897
31	93	2837
32	94	2781
33	96	2728
34	97	2685
35	98	2641
36	99	2601
37	101	2573
38	102	2534
39	103	2495
40	105	2458
41	106	2422
42	107	2386
43	108	2352
44	109	2320
45	110	2288
46	111	2258
47	112	2229
48	113	2204
49	114	2178
50	116	2175
51	118	2152
52	119	2130
53	120	2109
54	121	2087
55	122	2067
56	123	2045
57	124	2024
58	125	2004
59	130	2049
60	133	2048
61	134	2032
62	135	2017
63	136	2001
64	137	1983
65	139	1968
66	140	1953
67	141	1941
68	142	1926
69	144	1913
70	145	1909
71	147	1904
72	148	1890
73	150	1879
74	151	1868
75	152	1853
76	153	1838
77	154	1828
78	155	1817
79	157	1805
80	158	1794
81	159	1784
82	160	1778
83	162	1777
84	163	1761
85	164	1751
86	165	1741
87	166	1730
88	168	1721
89	169	1711
90	170	1701
91	171	1692
92	172	1682
93	173	1671
94	174	1663
95	175	1653
96	177	1656
97	179	1649
98	180	1640
99	181	1632
100	182	1624
101	183	1617
102	184	1609
103	185	1601
104	187	1594
105	188	1588
106	189	1581
107	190	1574
108	192	1576
109	193	1569
110	195	1561
111	196	1555
112	197	1549
113	198	1542
114	199	1535
115	200	1528
116	201	1522
117	202	1515
118	203	1509
119	204	1502
120	206	1497
121	207	1494
122	208	1488
123	209	1482
124	211	1477
125	212	1471
126	213	1464
127	214	1458
128	215	1453
129	216	1447
130	217	1441
131	218	1436
132	219	1431
133	220	1426
134	222	1424
135	223	1420
136	224	1415
137	225	1410
138	226	1405
139	227	1398
140	228	1392
141	229	1387
142	230	1382
143	231	1378
144	232	1372
145	233	1368
146	234	1363
147	237	1366
148	238	1364
149	240	1360
150	241	1356
151	242	1352
152	243	1348
153	244	1343
154	245	1336
155	246	1335
