iter	Passed	Remaining
0	66	66458
1	68	34205
2	69	23248
3	71	17794
4	72	14468
5	74	12273
6	76	10796
7	78	9672
8	79	8785
9	81	8076
10	83	7474
11	84	6966
12	85	6521
13	87	6142
14	89	5859
15	91	5610
16	92	5353
17	94	5157
18	96	4959
19	97	4773
20	98	4609
21	100	4485
22	102	4342
23	103	4220
24	105	4118
25	107	4010
26	108	3906
27	109	3813
28	111	3723
29	112	3637
30	114	3566
31	115	3486
32	116	3420
33	118	3354
34	119	3293
35	120	3237
36	122	3185
37	123	3127
38	124	3075
39	126	3025
40	127	2976
41	128	2937
42	130	2897
43	131	2857
44	132	2815
45	133	2777
46	135	2744
47	136	2712
48	138	2678
49	139	2644
50	140	2613
51	141	2579
52	142	2551
53	144	2525
54	145	2499
55	146	2475
56	147	2446
57	149	2421
58	150	2399
59	151	2378
60	153	2356
61	154	2334
62	155	2313
63	156	2292
64	158	2274
65	159	2257
66	161	2243
67	162	2227
68	164	2218
69	165	2204
70	167	2190
71	168	2174
72	169	2158
73	171	2145
74	172	2129
75	173	2114
76	175	2099
77	176	2083
78	177	2068
79	178	2054
80	180	2043
81	181	2032
82	182	2013
83	183	2001
84	184	1987
85	185	1975
86	186	1961
87	188	1950
88	189	1936
89	190	1928
90	191	1917
91	193	1906
92	194	1896
93	195	1888
94	197	1876
95	198	1865
96	199	1856
97	200	1847
98	202	1838
99	203	1829
100	204	1819
101	205	1810
102	206	1801
103	208	1793
104	209	1787
105	211	1780
106	212	1772
107	213	1764
108	215	1758
109	216	1750
110	217	1742
111	218	1735
112	220	1728
113	221	1719
114	222	1712
115	223	1704
116	224	1696
117	226	1691
118	227	1687
119	229	1680
120	230	1673
121	231	1666
122	232	1658
123	233	1652
124	235	1645
125	236	1643
126	237	1634
127	239	1628
128	240	1624
129	241	1619
130	243	1613
131	244	1607
132	245	1601
133	246	1595
134	248	1589
135	250	1589
136	251	1583
137	252	1578
138	253	1573
139	255	1568
140	256	1564
141	257	1558
142	259	1553
143	260	1549
144	261	1543
145	263	1539
146	264	1535
147	265	1531
148	267	1526
149	268	1524
150	270	1520
151	271	1517
152	273	1513
153	275	1512
154	276	1507
155	278	1504
156	279	1501
157	281	1498
158	282	1496
159	284	1492
160	285	1488
161	287	1485
162	288	1482
163	290	1481
164	292	1478
165	293	1475
166	295	1471
167	296	1469
168	298	1466
169	299	1464
170	301	1463
171	304	1463
172	305	1459
173	306	1455
174	308	1452
175	309	1450
176	311	1446
177	312	1443
178	313	1438
179	315	1435
180	316	1434
181	318	1432
182	319	1428
183	321	1424
184	322	1420
185	324	1419
186	325	1416
187	327	1414
188	328	1411
189	331	1413
190	333	1411
191	334	1409
192	336	1407
193	338	1406
194	339	1403
195	341	1401
196	342	1397
197	344	1394
198	345	1391
199	347	1389
200	348	1386
201	349	1382
202	351	1379
203	352	1377
204	354	1373
205	355	1370
206	356	1366
207	358	1363
208	360	1363
209	361	1361
210	363	1359
211	365	1357
212	366	1355
213	368	1352
214	370	1351
215	372	1350
216	373	1347
217	374	1344
218	376	1341
219	377	1338
220	379	1336
221	380	1332
222	381	1329
223	383	1327
224	384	1324
225	386	1322
226	387	1319
227	388	1316
228	391	1316
229	393	1315
230	394	1314
231	396	1311
232	397	1309
233	399	1307
234	401	1305
235	402	1303
236	404	1301
237	407	1303
238	408	1301
239	410	1299
240	411	1296
241	413	1293
242	414	1290
243	415	1287
244	416	1284
245	418	1282
246	419	1279
247	421	1277
248	422	1275
249	425	1276
250	427	1274
251	428	1271
252	429	1268
253	430	1265
254	432	1262
255	433	1260
256	434	1256
257	436	1254
258	438	1253
259	439	1252
260	441	1249
261	443	1249
262	444	1246
263	446	1243
264	447	1240
265	448	1237
266	449	1234
267	450	1231
268	452	1229
269	453	1227
270	454	1223
271	456	1220
272	457	1217
273	458	1214
274	459	1211
275	460	1209
276	463	1209
277	464	1206
278	465	1204
279	467	1201
280	468	1198
281	470	1198
282	472	1197
283	473	1194
284	475	1191
285	476	1189
286	477	1187
287	479	1184
288	480	1181
289	481	1178
290	483	1177
291	484	1175
292	486	1173
293	488	1172
294	489	1169
295	491	1168
296	492	1165
297	494	1163
298	495	1161
299	496	1159
300	498	1157
301	499	1155
302	501	1153
303	502	1151
304	503	1148
305	504	1145
306	506	1142
307	507	1139
308	508	1136
309	509	1134
310	510	1131
311	511	1128
312	513	1127
313	515	1126
314	516	1123
315	518	1121
316	519	1119
317	520	1116
318	521	1113
319	522	1111
320	524	1108
321	525	1106
322	526	1103
323	528	1102
324	530	1100
325	531	1099
326	533	1097
327	534	1095
328	535	1092
329	536	1090
330	538	1087
331	539	1084
332	540	1082
333	541	1079
334	542	1077
335	544	1076
336	545	1073
337	546	1071
338	547	1068
339	549	1066
340	550	1063
341	551	1060
342	552	1058
343	553	1055
344	554	1053
345	556	1051
346	557	1048
347	558	1046
348	559	1044
349	561	1042
350	562	1039
351	563	1037
352	564	1035
353	565	1032
354	567	1030
355	569	1030
356	570	1027
357	572	1025
358	573	1024
359	574	1021
360	576	1020
361	577	1017
362	578	1015
363	580	1013
364	581	1011
365	582	1009
366	583	1007
367	585	1004
368	586	1002
369	587	1000
370	589	998
371	590	996
